hex,reg_number,flag,lat,lng,alt,dir,speed,v_speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
861B03,JA602F,JP,33.52,130.71,9761,250,677,0.0,8489,ANA8489,NH8489,RJAA,NRT,ZGGG,CAN,ANA,NH,B763,1647955710,en-route
84B982,JA21MC,JP,33.98,131.66,2926,256,507,-8.5,91,SFJ91,7G91,RJTT,HND,RJFR,KKJ,SFJ,7G,A320,1647955710,en-route
86EF62,JA8970,JP,32.28,131.71,11574,235,661,0.0,8511,ANA8511,NH8511,RJAA,NRT,VHHH,HKG,ANA,NH,B763,1647955710,en-route
AE2F98,168066,US,34.15,132.24,0,286,12,0.0,,,,,,,,CNV,,C30J,1647955710,en-route
7801BB,B-LDA,UK,32.37,132.59,7932,239,714,0.0,217,AHK217,LD217,RJGG,NGO,VHHH,HKG,DHK,LD,A306,1647955710,en-route
4D20D5,9H-VJI,MT,34.5,133.1,11582,255,651,0.0,227,VJT227,,RJTT,HND,,,VJT,,GLEX,1647955710,en-route
86D64B,JA826P,JP,33.56,134.05,5196,43,696,-4.9,218,APJ218,MM218,ROAH,OKA,RJBB,KIX,APJ,MM,A320,1647955710,en-route
86D66D,JA827P,JP,34.12,134.77,1859,47,464,-7.2,220,APJ220,MM220,ROAH,OKA,RJBB,KIX,APJ,MM,A320,1647955710,en-route
861B20,JA603A,JP,31.56,134.79,10972,236,657,0.0,8545,ANA8545,NH8545,RJAA,NRT,VTBS,BKK,ANA,NH,B763,1647955710,en-route
8990D6,B-16707,TW,33.1,135.22,10058,74,1088,0.0,36,EVA36,BR36,RCTP,TPE,CYYZ,YYZ,EVA,BR,B77W,1647955710,en-route
A05434,N120FE,US,34.44,135.22,0,140,0,0.0,5813,FDX5813,FX5813,RJBB,KIX,,,FDX,FX,B763,1647955710,landed
A7D69D,N604FE,US,34.43,135.22,0,230,0,0.0,5199,FDX5199,FX5199,RJBB,KIX,,,FDX,FX,MD11,1647955710,landed
AC297B,N883FD,US,34.43,135.23,0,343,0,0.0,5021,FDX5021,FX5021,RJBB,KIX,,,FDX,FX,B77L,1647955710,landed
ABE959,N867FD,US,34.43,135.23,0,230,0,0.0,5193,FDX5193,FX5193,RJBB,KIX,,,FDX,FX,B77L,1647955710,landed
76CD03,9V-SHC,SG,34.44,135.25,0,320,0,0.0,622,SIA622,SQ622,WSSS,SIN,RJBB,KIX,SIA,SQ,A359,1647955710,landed
841B6A,JA07MC,JP,34.18,135.36,3048,258,494,-4.9,29,SFJ29,7G29,RJTT,HND,RJBB,KIX,SFJ,7G,A320,1647955710,en-route
86CEE7,JA804X,JP,33.06,137.13,11887,53,977,-0.30000000000000004,30,SNJ30,6J30,ROAH,OKA,RJTT,HND,SNJ,6J,B738,1647955710,en-route
861E78,JA611J,JP,33.85,138.41,10142,54,987,-17.6,922,JAL922,JL922,ROAH,OKA,RJTT,HND,JAL,JL,B763,1647955710,en-route
A661FC,N510FR,CA,41.57,-94.92,13708,79,888,-0.30000000000000004,,,,KAPA,APA,KRFD,RFD,NRL,N5,GLF3,1647955710,en-route
C062F5,C-GLMI,CA,47.58,-87.98,13106,293,733,0.30000000000000004,,,,CYKF,YKF,CYWG,YWG,SYB,,C680,1647955710,en-route
A3CCBD,N344FX,US,42.2,-99.96,13106,260,725,0.0,344,LXJ344,,KRST,RST,KASE,ASE,LXJ,,E55P,1647955710,en-route
A9704D,N707TW,US,47.33,-103.13,12496,97,894,-0.30000000000000004,8910,DAL8910,DL8910,KSEA,SEA,KPHL,PHL,DAL,DL,B752,1647955710,en-route
4D22D4,9H-BFS,MT,52.62,-97.41,12192,302,853,0.0,2002,MLT2002,DB2002,CYYZ,YYZ,PANC,ANC,MLT,DB,A332,1647955710,en-route
AAC5EC,N7933A,US,42.98,-94.7,12192,203,727,0.0,3049,SCX3049,SY3049,KMSP,MSP,KAFW,AFW,SCX,SY,B738,1647955710,en-route
A2644C,N253T,NG,43.49,-102.18,12192,263,753,-0.7000000000000001,,,,KLSE,LSE,KSLC,SLC,NIG,N2,C56X,1647955710,en-route
A954CA,N700CK,US,46.5,-91.15,12192,328,840,0.0,936,CKS936,K4936,KORD,ORD,PANC,ANC,CKS,K4,B744,1647955710,en-route
A4F5A7,N419AZ,US,44.83,-99.52,11887,107,901,0.0,3471,ATN3471,8C3471,KSEA,SEA,KRFD,RFD,ATN,8C,B763,1647955710,en-route
A4C4BB,N406UP,US,41.81,-88.65,11887,135,859,-1.0,5525,UPS5525,5X5525,KMSP,MSP,KSDF,SDF,UPS,5X,B752,1647955710,en-route
ACD675,N926WN,US,42.66,-97.28,11879,80,853,0.0,947,SWA947,WN947,KDEN,DEN,KMDW,MDW,SWA,WN,B737,1647955710,en-route
A059E3,N12109,US,42.1,-100.7,11582,255,837,0.0,788,UAL788,UA788,KEWR,EWR,KSFO,SFO,UAL,UA,B752,1647955710,en-route
C07C26,C-GVAJ,CA,46.53,-108.87,11582,273,785,0.0,926,CJT926,W8926,KCVG,CVG,CYVR,YVR,CJT,W8,B752,1647955710,en-route
C045F1,C-GAMQ,CA,49.48,-99.94,11582,294,811,0.0,653,WJA653,WS653,CYYZ,YYZ,CYYC,YYC,WJA,WS,B38M,1647955710,en-route
AA9D50,N783SW,US,41.55,-87.69,11582,270,707,0.0,1130,SWA1130,WN1130,KLGA,LGA,KDEN,DEN,SWA,WN,B737,1647955710,en-route
A3A0CF,N33289,US,45.22,-95.86,11582,277,781,0.30000000000000004,2741,UAL2741,UA2741,KCLE,CLE,KSFO,SFO,UAL,UA,B738,1647955710,en-route
AAE73B,N801SY,US,42.82,-88.51,11582,320,788,0.0,376,SCX376,SY376,KRSW,RSW,KMSP,MSP,SCX,SY,B738,1647955710,en-route
C01FBA,C-FMAJ,CA,49.72,-101.34,11582,293,840,0.0,905,CJT905,W8905,CYHM,YHM,CYYC,YYC,CJT,W8,B763,1647955710,en-route
A3859A,N326LF,SV,41.7,-97.62,11582,252,807,0.0,,,,KARR,AUZ,KAPA,APA,VOS,N3,F900,1647955710,en-route
A2B991,N275FE,US,43.55,-92.56,11308,173,679,8.1,645,FDX645,FX645,KMSP,MSP,KMEM,MEM,FDX,FX,B763,1647955710,en-route
AAC4BB,N793SA,US,41.55,-89.82,11277,89,892,0.0,819,SWA819,WN819,KDEN,DEN,KLGA,LGA,SWA,WN,B737,1647955710,en-route
C04FFF,C-GEHQ,CA,50.14,-101.13,11277,100,896,0.0,130,ACA130,AC130,CYYC,YYC,CYYZ,YYZ,ACA,AC,B38M,1647955710,en-route
A495B4,N395DN,US,42.1,-89.06,11277,137,827,0.30000000000000004,1280,DAL1280,DL1280,KMSP,MSP,KRSW,RSW,DAL,DL,B738,1647955710,en-route
A36898,N319DN,US,42.47,-98.7,10980,239,800,0.30000000000000004,723,DAL723,DL723,KMSP,MSP,KDEN,DEN,DAL,DL,A321,1647955710,en-route
C00DA8,C-FFEL,CA,47.88,-89.97,10972,297,716,-0.30000000000000004,821,FLE821,F8821,CYYZ,YYZ,CYYC,YYC,FLE,F8,B38M,1647955710,en-route
A2919A,N265AK,US,44.57,-88.27,10972,287,725,0.0,791,ASA791,AS791,KEWR,EWR,KSEA,SEA,ASA,AS,B739,1647955710,en-route
ABC780,N8580Z,US,42.24,-93.39,10972,275,764,0.0,1602,SWA1602,WN1602,KMDW,MDW,KDEN,DEN,SWA,WN,B738,1647955710,en-route
A5320B,N434AS,US,43.11,-106.34,10972,288,805,0.7000000000000001,683,ASA683,AS683,KMCI,MCI,KSEA,SEA,ASA,AS,B739,1647955710,en-route
A7B7EA,N597FE,US,41.54,-87.29,10972,270,790,0.30000000000000004,3806,FDX3806,FX3806,KEWR,EWR,KOAK,OAK,FDX,FX,MD11,1647955710,en-route
A6BBA3,N533AS,US,43.36,-89.09,10972,291,748,-0.30000000000000004,1376,ASA1376,AS1376,KPHL,PHL,KSEA,SEA,ASA,AS,B738,1647955710,en-route
A11380,N169DZ,US,42.05,-87.48,10972,295,779,0.0,308,DAL308,DL308,KJFK,JFK,KSEA,SEA,DAL,DL,B763,1647955710,en-route
